name,year,charter,level,lat,long
1 Lt Charles W. Whitcomb School,2014,No,Middle,42.3574,-71.5486
1 Lt Charles W. Whitcomb School,2013,No,Middle,42.35735,-71.548591
1 Lt Charles W. Whitcomb School,2012,No,Middle,42.355247,-71.547397
1 Lt Charles W. Whitcomb School,2011,No,Middle,42.3552,-71.547629
1 Lt Charles W. Whitcomb School,2010,No,Middle,42.357383,-71.548459
1 Lt Charles W. Whitcomb School,2009,No,Middle,42.3574,-71.5485
21St Century Skills Academy,2014,No,High,42.1453,-72.6344
A Drewicz Elementary,2014,No,Primary,42.4605,-70.9692
A Drewicz Elementary,2013,No,Primary,42.4607,-70.969351
A Drewicz Elementary,2012,No,Primary,42.460509,-70.969159
A Drewicz Elementary,2011,No,Primary,42.461277,-70.969722
A Drewicz Elementary,2010,No,Primary,42.460733,-70.969367
A Drewicz Elementary,2009,No,Primary,42.4607,-70.9694
A Drewicz Elementary,2008,No,Primary,42.46062,-70.96941
A Drewicz Elementary,2007,No,Primary,42.46062,-70.96941
A Drewicz Elementary,2006,No,Primary,42.46131,-70.96985
A Drewicz Elementary,2005,No,Primary,42.46118,-70.9696
A Drewicz Elementary,2004,No,Primary,42.461312,-70.969846
A Drewicz Elementary,2003,No,Primary,42.461312,-70.969846
A Drewicz Elementary,2002,No,Primary,42.461312,-70.969846
A E Angier,2014,No,Primary,42.3266,-71.2326
A E Angier,2013,No,Primary,42.3265,-71.232611
A E Angier,2012,No,Primary,42.326592,-71.232568
A E Angier,2011,No,Primary,42.326008,-71.233139
A E Angier,2010,No,Primary,42.326527,-71.232401
A E Angier,2009,No,Primary,42.3265,-71.2324
A E Angier,2008,No,Primary,42.32639,-71.23269
A E Angier,2007,No,Primary,42.32639,-71.23269
A E Angier,2006,No,Primary,42.32616,-71.23347
A E Angier,2005,No,Primary,42.32614,-71.2331
A E Angier,2004,No,Primary,42.326156,-71.233474
A E Angier,2003,No,Primary,42.326156,-71.233474
A E Angier,2002,No,Primary,42.326156,-71.233474
A F Maloney,2014,No,Middle,42.0196,-71.5354
A F Maloney,2013,No,Middle,42.02953,-71.544381
A F Maloney,2012,No,Middle,42.019608,-71.535407
A F Maloney,2011,No,Middle,42.029114,-71.543703
A F Maloney,2010,No,Middle,42.029535,-71.544376
A F Maloney,2009,No,Middle,42.0295,-71.5444
A F Maloney,2008,No,Middle,42.02871,-71.54532
A F Maloney,2007,No,Middle,42.02871,-71.54532
A F Maloney,2006,No,Middle,42.02829,-71.54483
A F Maloney,2005,No,Middle,42.02858,-71.54459
A F Maloney,2004,No,Middle,42.028293,-71.544826
A F Maloney,2003,No,Middle,42.028293,-71.544826
A F Maloney,2002,No,Primary,42.027629,-71.545636
A S Letourneau,2014,No,Primary,41.67313,-71.1559
A S Letourneau,2013,No,Primary,41.67313,-71.1559
A S Letourneau,2012,No,Primary,41.67339,-71.15607
A S Letourneau,2011,No,Primary,41.6735,-71.15578
A S Letourneau,2010,No,Primary,41.673392,-71.156074
A S Letourneau,2009,No,Primary,41.673392,-71.156074
A S Letourneau,2008,No,Primary,41.673392,-71.156074
A. C. Whelan Elementary School,2014,No,Primary,42.4193,-71.0199
A. C. Whelan Elementary School,2013,No,Primary,42.419321,-71.019945
A. C. Whelan Elementary School,2012,No,Primary,42.419321,-71.019945
A. C. Whelan Elementary School,2011,No,Primary,42.4198,-71.0205
A. C. Whelan Elementary School,2010,No,Primary,42.4198,-71.0205
A. C. Whelan Elementary School,2009,No,Primary,42.4198,-71.0205
A. C. Whelan Elementary School,2008,No,Primary,42.41979,-71.02049
A. C. Whelan Elementary School,2007,No,Primary,42.41979,-71.02049
A. C. Whelan Elementary School,2006,No,Primary,42.41898,-71.01873
A. C. Whelan Elementary School,2005,No,Primary,42.41956,-71.01856
A. C. Whelan Elementary School,2004,No,Primary,42.418981,-71.018728
A. C. Whelan Elementary School,2003,No,Primary,42.418981,-71.018728
A. C. Whelan Elementary School,2002,No,Primary,42.418981,-71.018728
A. Irvin Studley Elementary School,2014,No,Primary,41.9394,-71.3019
A. Irvin Studley Elementary School,2013,No,Primary,41.939404,-71.301884
A. Irvin Studley Elementary School,2012,No,Primary,41.939404,-71.301884
A. Irvin Studley Elementary School,2011,No,Primary,41.9395,-71.302
A. Irvin Studley Elementary School,2010,No,Primary,41.9395,-71.302
A. Irvin Studley Elementary School,2009,No,Primary,41.9395,-71.302
A. Irvin Studley Elementary School,2008,No,Primary,41.93952,-71.302
A. Irvin Studley Elementary School,2007,No,Primary,41.93952,-71.302
