year,school,school_id,african_american,asian,hispanic,white,native,male,female
2001,Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School, 04450105,8.7,2.8,8.9,79.5,0.1,51.4,48.6
2001,Abington - Abington ECC, 00010003,0.7,1.5,1.2,96.5,0.2,52.2,47.8
2001,Abington - Abington High, 00010505,1.6,0.9,1.3,96.2,0,46.2,53.8
2001,Abington - Center, 00010005,3,0,1,96,0,54.2,45.8
2001,Abington - Frolio Jr Hs, 00010405,1.7,0,1.4,96.9,0,46.4,53.6
2001,Abington - North, 00010010,0,0,0,100,0,52.9,47.1
2001,Abington - Woodsdale, 00010015,1.5,0.3,0.8,97.4,0,54.2,45.8
2001,Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School, 04150505,0,0,0,100,0,76,24
2001,Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School, 04120530,65.2,6.2,6.6,22.1,0,54.5,45.5
2001,Acton - Douglas, 00020020,0.6,15.6,2.8,81,0,50.2,49.8
2001,Acton - Gates, 00020025,0.2,10.9,0.4,88.5,0,56.4,43.6
2001,Acton - Luther Conant, 00020030,0.8,21.7,2,75.3,0.2,53.3,46.7
2001,Acton - McCarthy-Towne, 00020015,2.2,9.1,3.2,85.6,0,49.2,50.8
2001,Acton - Merriam, 00020010,1.3,16.7,0.6,81.4,0,51.8,48.2
2001,Acton-Boxborough - Acton-Boxborough Reg High, 06000505,0.9,10,1.6,87.2,0.3,47.7,52.3
2001,Acton-Boxborough - Raymond J Grey JH, 06000405,0.8,10.4,1.8,86.9,0.1,53.3,46.7
2001,Acushnet - Acushnet Elementary Sch, 00030025,1,0.3,0.7,97.7,0.3,52.5,47.5
2001,Acushnet - Albert F Ford Middle Sch, 00030305,0.2,0.2,1.2,97.8,0.5,51,49
2001,Adams-Cheshire - Adams Middle, 06030305,0.7,0.7,0.7,97.9,0,53.1,46.9
2001,Adams-Cheshire - Cheshire Elementary, 06030004,1.2,0.9,1.8,95.5,0.6,53.9,46.1
2001,Adams-Cheshire - Hoosac Valley High, 06030505,0.7,0.6,0.2,98.5,0,45.3,54.7
2001,Adams-Cheshire - Plunkett Elementary, 06030020,3.1,0.3,1.5,95,0,50.5,49.5
2001,Agawam - Agawam ECC, 00050003,0.7,0,0.7,98.6,0,48.2,51.8
2001,Agawam - Agawam High, 00050505,0.9,1.7,1.5,95.2,0.7,51.9,48.1
2001,Agawam - Agawam Junior High, 00050405,1.2,1.8,2.8,93.9,0.3,48.7,51.3
2001,Agawam - Agawam Middle School, 00050303,1,1.9,1.7,95.3,0.1,53.6,46.4
2001,Agawam - Benjamin J Phelps, 00050020,2,1.5,1,95.6,0,48.3,51.7
2001,Agawam - Clifford M Granger, 00050010,1.3,0,2.8,95.8,0,50.5,49.5
2001,Agawam - James Clark School, 00050030,0.2,1.5,1,97.3,0,49.9,50.1
2001,Agawam - Robinson Park, 00050025,1.2,2.6,1.2,95.1,0,53.2,46.8
2001,Amesbury - Amesbury Elementary, 00070005,2.8,0.9,1.7,94.6,0,51.4,48.6
2001,Amesbury - Amesbury High, 00070505,0.7,0.6,1.4,97.1,0.1,49.5,50.5
2001,Amesbury - Amesbury Middle, 00070013,0.9,0.9,1.2,96.2,0.8,49.3,50.7
2001,Amesbury - Charles C Cashman El, 00070010,0.9,0.7,1.3,96.7,0.4,57.8,42.2
2001,Amherst - Crocker Farm Elementary, 00080009,7.6,5,22.1,64.7,0.7,50.5,49.5
