address,town,name,type,id,lat,long
10 New Bond Street,Worcester,Abby Kelley Foster Charter Public School,Charter School,4450105,42.3056491,-71.8016973
201 Gliniewicz Way,Abington,Abington High,Public School,10505,42.118631,-70.95358809999999
1 Ralph Hamlin Lane,Abington,Beaver Brook Elementary School,Public School,10003,42.1187337,-70.94630169999999
65 Thaxter Avenue,Abington,Center Elementary School,Public School,10002,42.1039318,-70.9443041
1071 Washington Street,Abington,Frolio Middle School,Public School,10405,42.12007639999999,-70.9460728
128 Chestnut Street,Abington,Woodsdale Elementary School,Public School,10015,42.13032750000001,-70.9727582
1 Westinghouse Plaza,Hyde Park,Academy Of the Pacific Rim Charter Public School,Charter School,4120530,42.244227,-71.13203020000002
36 Charter Rd,Acton,Acton-Boxborough Regional High,Public School,6000505,42.4794652,-71.4579741
493 Massachusetts Avenue,Boxborough,Blanchard Memorial School,Public School,6000005,42.4821128,-71.50595899999999
21 Elm Street,Acton,C.T. Douglas Elementary School,Public School,6000020,42.483175,-71.4739501
15 Charter Road,Acton,Carol Huebner Early Childhood Program,Public School,6000001,42.477794,-71.4557
80 Taylor Road,Acton,Luther Conant School,Public School,6000030,42.4752849,-71.43637009999999
11 Charter Road,Acton,McCarthy-Towne School,Public School,6000015,42.4766815,-71.4533624
11 Charter Road,Acton,Merriam School,Public School,6000010,42.4766815,-71.4533624
75 Spruce Street,Acton,Paul P Gates Elementary School,Public School,6000025,42.4792272,-71.4736762
16 Charter Rd,Acton,Raymond J Grey Junior High,Public School,6000405,42.4764217,-71.45800380000001
800 Middle Road,Acushnet,Acushnet Elementary School,Public School,30025,41.7254284,-70.9056507
708 Middle Road,Acushnet,Albert F Ford Middle School,Public School,30305,41.7232663,-70.9050673
191 Church Street,Cheshire,Cheshire Elementary,Public School,6030004,42.563831,-73.158326
125 Savoy Road,Cheshire,Hoosac Valley Middle & High School,Public School,6030505,42.5939463,-73.11565929999999
14 Commercial Street,Adams,Plunkett Elementary,Public School,6030020,42.6189883,-73.1209377
201 Forest Street,Marlborough,Advanced Math and Science Academy Charter School,Charter School,4300305,42.3324896,-71.57724
108 Perry Lane,Agawam,Agawam Early Childhood Center,Public School,50003,42.0669669,-72.6282813
760 Cooper Street,Agawam,Agawam High,Public School,50505,42.074026,-72.6439206
1305 Springfield St,Feeding Hills,Agawam Junior High,Public School,50405,42.0639714,-72.6739284
689 Main Street,Agawam,Benjamin J Phelps,Public School,50020,42.0701967,-72.6135023
31 So. Westfield Street,Feeding Hills,Clifford M Granger,Public School,50010,42.066004,-72.6774782
65 Oxford Street,Agawam,James Clark School,Public School,50030,42.0454725,-72.6314773
68 Main Street,Agawam,Roberta G. Doering School,Public School,50303,42.0884312,-72.624858
65 Begley Street,Agawam,Robinson Park,Public School,50025,42.090062,-72.64037429999999
515 Belleville Ave,New Bedford,Alma del Mar Charter School,Charter School,4090205,41.6659423,-70.92227439999999
20 South Hampton Road,Amesbury,Amesbury Elementary,Public School,70005,42.8660332,-70.93176989999999
5 Highland Street,Amesbury,Amesbury High,Public School,70505,42.8509012,-70.9421575
71 Friend Street,Amesbury,Amesbury Innovation High School,Public School,70515,42.8563118,-70.9348924
220 Main Street,Amesbury,Amesbury Middle,Public School,70013,42.8489846,-70.9294998
193 Lions Mouth Road,Amesbury,Charles C Cashman Elementary,Public School,70010,42.85582,-70.9488159
280 West Street,Amherst,Crocker Farm Elementary,Public School,80009,42.3473091,-72.51740319999999
70 So East Street,Amherst,Fort River Elementary,Public School,80020,42.37479099999999,-72.497669
71 Strong Street,Amherst,Wildwood Elementary,Public School,80050,42.3874259,-72.51291549999999
21 Mattoon Street,Amherst,Amherst Regional High,Public School,6050505,42.37985,-72.51214019999999
170 Chestnut Street,Amherst,Amherst Regional Middle School,Public School,6050405,42.3845363,-72.5104546
80 Shawsheen Road,Andover,Andover High,Public School,90505,42.6568414,-71.15503489999999
70 Shawsheen Road,Andover,Andover West Middle,Public School,90310,42.65981660000001,-71.15306029999999
15 Bancroft Street,Andover,Bancroft Elementary,Public School,90003,42.636617,-71.12517199999999
50 Bartlet Street,Andover,Doherty Middle,Public School,90305,42.654333,-71.13506799999999
90 Lovejoy Road,Andover,Henry C Sanborn Elementary,Public School,90010,42.6420026,-71.17850779999999
333 High Plain Road,Andover,High Plain Elementary,Public School,90004,42.6634341,-71.2129716
18 Magnolia Avenue,Andover,Shawsheen School,Public School,90005,42.6762646,-71.1549564
55 Woburn Street,Andover,South Elementary,Public School,90020,42.6262663,-71.1498191
58 Beacon Street,Andover,West Elementary,Public School,90025,42.6643323,-71.1702627
11 Cross Street,Andover,Wood Hill Middle School,Public School,90350,42.665289,-71.212637
263 Hamlet Street,Fall River,Argosy Collegiate Charter School,Charter School,35090305,41.6886704,-71.1615304
869 Mass Avenue,Arlington,Arlington High,Public School,100505,42.418281,-71.1617777
66 Eastern Avenue,Arlington,Brackett,Public School,100010,42.4124531,-71.1764373
185 Florence Avenue,Arlington,Cyrus E Dallin,Public School,100025,42.41771,-71.187859
52 Lake Street,Arlington,Hardy,Public School,100030,42.4043459,-71.145224
25 Columbia Road,Arlington,John A Bishop,Public School,100005,42.4244394,-71.1548265
180 Mountain Avenue,Arlington,M Norcross Stratton,Public School,100055,42.4289318,-71.1673266
869 Massachusetts Avenue,Arlington,Menotomy Preschool,Public School,100038,42.418281,-71.1617777
63 Acton Street,Arlington,Ottoson Middle,Public School,100410,42.421107,-71.175771
85 Park Avenue Ext,Arlington,Peirce,Public School,100045,42.4287164,-71.1782394
