school id,year,percent attending college/univ,percent attending prive two year,percent attending private four year,percent attending public two year,percent attending public four year
10505,2004,78.2,1.0,35.1,26.8,37.1
50505,2004,78.5,0.0,21.0,41.0,38.0
70505,2004,75.4,0.0,26.4,38.8,34.9
90505,2004,85.3,0.3,51.6,13.2,34.9
100505,2004,77.0,0.0,52.9,16.7,30.4
140505,2004,70.1,0.0,49.5,12.9,37.6
160505,2004,61.0,2.2,31.3,29.1,37.4
170505,2004,84.4,0.0,41.1,28.2,30.6
180510,2004,68.2,0.0,46.7,23.3,30.0
200505,2004,70.0,0.0,33.0,43.9,23.2
230505,2004,80.4,0.0,52.1,12.6,35.3
240505,2004,82.6,0.8,31.9,26.9,40.3
250505,2004,70.5,0.0,38.1,28.4,33.6
260505,2004,79.2,0.0,54.1,9.8,36.1
300505,2004,79.1,0.0,32.0,30.8,37.2
310505,2004,76.4,0.4,35.5,27.7,36.5
350505,2004,46.8,0.0,46.3,32.6,21.1
350515,2004,45.3,0.0,35.4,40.2,24.4
350522,2004,39.1,0.0,27.8,33.3,38.9
350525,2004,42.9,2.0,33.3,21.6,43.1
350530,2004,38.7,2.6,29.9,31.2,36.4
350535,2004,55.9,2.5,35.6,43.2,18.6
350537,2004,37.9,0.9,18.9,60.4,19.8
350540,2004,64.4,0.0,65.8,18.4,15.8
350541,2004,76.5,3.8,30.8,34.6,30.8
350542,2004,50.0,5.3,36.8,26.3,31.6
350545,2004,83.2,0.0,54.0,5.6,40.4
350546,2004,67.5,0.0,55.6,18.5,25.9
350548,2004,22.7,0.0,6.3,87.5,6.3
350558,2004,41.8,5.3,34.2,28.9,31.6
350560,2004,80.6,0.4,67.4,3.2,29.1
350575,2004,74.2,0.6,52.8,21.1,25.5
350690,2004,62.5,0.0,43.6,47.3,9.1
360505,2004,70.3,0.0,35.1,27.8,37.1
400505,2004,66.5,0.5,42.5,19.6,37.4
440505,2004,62.0,0.4,34.2,38.9,26.5
460505,2004,76.4,0.0,62.2,9.8,28.0
480505,2004,80.5,0.0,38.2,20.0,41.8
490506,2004,65.0,0.4,50.2,20.1,29.3
500505,2004,82.9,0.0,47.1,21.8,31.2
560505,2004,80.9,0.0,36.9,15.5,47.6
570505,2004,47.2,3.0,32.8,37.3,26.9
610021,2004,18.2,0.0,0.0,100.0,0.0
610505,2004,68.2,0.0,22.5,65.8,11.7
610510,2004,58.4,0.0,14.0,68.2,17.8
640505,2004,66.7,0.0,21.8,30.8,47.4
650505,2004,80.2,0.0,71.0,8.7,20.3
710505,2004,82.8,0.5,38.0,30.2,31.3
720505,2004,75.6,0.5,24.2,30.3,45.0
730505,2004,73.1,0.0,44.8,20.8,34.4
770505,2004,72.6,0.0,26.7,37.8,35.6
790505,2004,78.9,0.0,23.3,40.0,36.7
820505,2004,74.6,0.0,62.3,6.0,31.7
830505,2004,70.4,4.0,28.0,41.0,27.0
860505,2004,61.6,0.0,24.5,66.0,9.4
870505,2004,78.7,0.0,38.7,36.8,24.5
880505,2004,74.7,0.5,46.9,17.7,34.9
930505,2004,46.7,3.2,37.6,30.6,28.7
940505,2004,68.9,0.0,15.9,32.9,51.2
950505,2004,59.3,0.0,14.2,60.8,25.0
960505,2004,75.5,0.0,37.1,29.4,33.5
970505,2004,56.5,0.6,21.2,35.8,42.4
990505,2004,80.4,0.0,42.4,17.4,40.3
1000515,2004,70.3,0.3,41.0,18.2,40.4
1010505,2004,77.5,0.4,41.5,12.5,45.5
1030505,2004,75.5,0.7,21.1,52.1,26.1
1050505,2004,81.0,0.0,32.8,14.1,53.1
1070505,2004,65.4,0.0,39.9,23.5,36.6
1100505,2004,83.3,0.0,21.0,25.7,53.3
1110505,2004,72.2,0.0,24.6,49.1,26.3
1140505,2004,73.9,1.2,19.5,53.7,25.6
1170505,2004,59.0,0.0,43.5,21.7,34.8
1220505,2004,76.0,0.0,50.8,13.8,35.4
1250505,2004,84.8,0.0,45.2,9.5,45.2
1270505,2004,64.5,0.0,35.0,20.0,45.0
1280505,2004,74.6,0.3,24.0,43.3,32.3
1310505,2004,78.8,0.0,64.0,5.5,30.5
1330505,2004,63.4,0.0,31.1,37.8,31.1
1360505,2004,84.0,0.0,51.9,11.4,36.7
1370505,2004,76.4,0.0,21.2,54.8,24.0
1370605,2004,36.5,0.0,0.0,96.3,3.7
1380505,2004,60.7,0.0,43.2,10.8,45.9
1390505,2004,83.2,1.3,45.1,5.9,47.7
1410505,2004,69.9,0.0,36.2,15.5,48.3
1420505,2004,56.2,2.0,30.0,30.0,38.0
1440505,2004,85.6,0.0,33.7,32.7,33.7
1500505,2004,66.3,0.0,27.0,49.2,23.8
1510505,2004,76.1,0.0,26.5,30.4,43.1
1520505,2004,81.0,0.0,48.9,36.2,14.9
1530505,2004,68.3,0.0,24.2,28.5,47.3
1530605,2004,33.3,0.0,25.0,62.5,12.5
1550505,2004,79.5,0.0,70.5,4.3,25.2
1580505,2004,85.5,0.0,35.6,18.6,45.8
1590505,2004,83.1,0.0,47.9,19.0,33.2
1600505,2004,64.3,1.9,18.7,46.0,33.4
1610505,2004,77.3,0.0,23.6,59.3,17.1
1620505,2004,80.2,0.0,27.8,19.6,52.6
1630505,2004,67.8,0.5,21.0,42.9,35.6
1630510,2004,62.7,1.1,20.8,45.4,32.8
1630605,2004,41.9,3.8,17.9,71.8,6.4
1640505,2004,83.5,0.0,50.5,17.8,31.7
1650505,2004,52.3,0.6,29.9,30.5,39.1
1670505,2004,73.8,3.1,41.2,15.5,40.2
1680505,2004,83.6,0.6,44.5,15.0,39.9
1700505,2004,71.7,0.0,37.1,18.0,44.9
1710505,2004,74.1,0.4,45.5,13.4,40.7
1720505,2004,71.7,0.0,35.2,31.9,33.0
1740505,2004,72.9,0.0,52.9,25.5,21.6
1750505,2004,79.4,0.7,52.4,4.2,42.7
1760505,2004,67.9,0.0,41.6,19.9,38.5
1760605,2004,23.8,0.0,33.3,53.3,13.3
1770505,2004,84.4,0.0,36.3,12.7,51.0
1780505,2004,74.3,0.0,48.0,8.8,43.3
1810505,2004,77.1,0.4,23.8,41.8,34.1
1820505,2004,67.1,0.0,36.2,25.5,38.3
1850505,2004,70.1,0.6,39.1,15.4,45.0
1860505,2004,73.5,0.0,38.7,28.0,33.3
1870505,2004,88.7,0.0,43.6,20.0,36.4
1890505,2004,76.0,0.0,52.5,13.0,34.5
1970505,2004,67.5,0.0,63.0,3.7,33.3
1980505,2004,75.1,0.0,44.2,18.6,37.2
1990505,2004,86.2,0.0,55.8,6.0,38.2
2010505,2004,71.6,0.2,18.8,37.9,43.0
2040505,2004,86.7,0.0,37.7,23.1,39.2
2070505,2004,75.5,0.0,59.3,12.6,28.1
2070510,2004,78.6,0.0,63.8,4.0,32.2
2090505,2004,64.8,0.0,44.1,20.6,35.3
2100505,2004,73.8,0.0,43.8,28.5,27.8
2110505,2004,85.2,0.0,45.3,21.9,32.8
2120505,2004,77.8,1.5,28.1,24.5,45.9
2140505,2004,61.2,0.0,31.6,27.8,40.5
2150505,2004,50.0,0.0,23.8,33.3,42.9
2170505,2004,84.2,0.8,35.8,20.3,43.1
2180505,2004,74.3,1.9,34.6,21.2,42.3
2190505,2004,85.9,0.0,63.8,6.0,30.2
2200505,2004,73.5,1.1,43.4,17.1,38.3
2260505,2004,60.4,1.1,38.9,23.3,36.7
2270505,2004,70.9,0.0,28.4,52.6,18.9
2290510,2004,71.7,0.8,28.9,25.2,45.1
