school_id,year,total
10003,2001,603
10505,2001,563
10405,2001,376
10015,2001,394
4120530,2001,242
6000505,2001,1490
6000405,2001,843
30025,2001,687
30305,2001,408
6030004,2001,354
6030505,2001,551
6030020,2001,626
50003,2001,151
50505,2001,1255
50405,2001,662
50303,2001,682
50020,2001,426
50010,2001,447
50030,2001,391
50025,2001,353
70005,2001,522
70505,2001,796
70013,2001,912
70010,2001,436
80009,2001,341
80020,2001,559
80050,2001,512
6050505,2001,1365
6050405,2001,688
90505,2001,1626
90310,2001,680
90003,2001,598
90305,2001,791
90010,2001,490
90005,2001,287
90020,2001,617
90025,2001,816
100505,2001,1069
100010,2001,293
100025,2001,367
100030,2001,283
100005,2001,371
100055,2001,268
100410,2001,1010
100045,2001,214
100050,2001,340
6100025,2001,491
6100010,2001,296
6100505,2001,745
6100305,2001,616
6100005,2001,365
140505,2001,587
140405,2001,369
140015,2001,582
140010,2001,621
140005,2001,213
8010605,2001,930
6150505,2001,597
6150305,2001,564
6150050,2001,133
4910550,2001,586
160505,2001,1549
160315,2001,801
160045,2001,425
160040,2001,441
160050,2001,789
160305,2001,696
160001,2001,684
160320,2001,744
160035,2001,395
170305,2001,624
170505,2001,626
170010,2001,293
180510,2001,469
180010,2001,288
200505,2001,1975
200010,2001,400
200025,2001,371
200005,2001,279
230505,2001,671
230305,2001,481
230010,2001,522
230012,2001,503
240505,2001,556
240005,2001,334
240018,2001,626
250003,2001,127
250505,2001,1127
250025,2001,527
260505,2001,979
260015,2001,278
260010,2001,274
260035,2001,443
260005,2001,423
260305,2001,1166
4200205,2001,328
4470205,2001,389
270010,2001,909
6180505,2001,703
280005,2001,233
6200505,2001,436
300055,2001,437
300505,2001,1287
300305,2001,594
300015,2001,269
300033,2001,379
300040,2001,228
310505,2001,1452
310030,2001,412
310007,2001,555
310026,2001,711
310012,2001,570
310310,2001,690
310305,2001,930
310015,2001,553
310005,2001,523
8050605,2001,842
6220015,2001,436
6220405,2001,387
6220008,2001,512
6220010,2001,459
8060605,2001,875
350541,2001,79
350021,2001,288
350390,2001,791
350010,2001,197
350548,2001,172
350546,2001,321
350560,2001,2307
350545,2001,1635
350505,2001,1143
350036,2001,18
350054,2001,604
350052,2001,548
350515,2001,1302
350430,2001,521
350062,2001,202
350072,2001,442
350074,2001,449
350077,2001,322
350080,2001,669
350009,2001,198
350530,2001,1333
350088,2001,341
350543,2001,54
350003,2001,82
350006,2001,120
350096,2001,195
350100,2001,231
350540,2001,255
350116,2001,293
350122,2001,225
350200,2001,474
350135,2001,294
350141,2001,286
350013,2001,625
350146,2001,795
350154,2001,340
350156,2001,382
350485,2001,628
350153,2001,591
350525,2001,763
350172,2001,151
350180,2001,312
350182,2001,343
350183,2001,698
350184,2001,161
350181,2001,440
350286,2001,850
350190,2001,294
350262,2001,505
350537,2001,1629
350215,2001,291
350004,2001,121
350227,2001,587
350226,2001,793
350008,2001,205
350229,2001,454
350231,2001,250
350382,2001,161
350237,2001,188
350542,2001,191
350243,2001,193
350138,2001,246
350575,2001,1307
350255,2001,216
350264,2001,281
350266,2001,215
350268,2001,508
350278,2001,339
350565,2001,211
350691,2001,403
350240,2001,772
350298,2001,166
350302,2001,276
350304,2001,207
350308,2001,419
350690,2001,409
350535,2001,1291
350326,2001,412
350328,2001,324
350346,2001,370
350445,2001,802
350366,2001,417
350360,2001,349
350258,2001,642
350370,2001,573
350374,2001,294
350380,2001,287
4240505,2001,170
4810550,2001,1211
360505,2001,612
360325,2001,859
360010,2001,569
380005,2001,483
380013,2001,606
390005,2001,382
400033,2001,341
400505,2001,1350
400050,2001,248
400305,2001,691
400015,2001,348
400005,2001,341
400025,2001,437
400020,2001,322
400310,2001,504
410010,2001,295
410005,2001,395
6250505,2001,1533
6250020,2001,500
430005,2001,352
9100705,2001,394
8100605,2001,850
440505,2001,3945
440010,2001,792
440110,2001,702
440001,2001,620
440023,2001,998
440045,2001,733
440050,2001,118
440055,2001,498
440400,2001,56
440065,2001,701
440410,2001,688
440078,2001,715
440420,2001,707
450005,2001,338
460505,2001,1860
460005,2001,718
460015,2001,716
460025,2001,386
460045,2001,402
460030,2001,512
460020,2001,388
460040,2001,587
460035,2001,459
480505,2001,891
480007,2001,502
480035,2001,657
480303,2001,855
480015,2001,267
480020,2001,357
490005,2001,383
490506,2001,1951
490007,2001,300
490090,2001,281
490020,2001,238
490065,2001,508
490030,2001,259
490035,2001,322
490040,2001,410
490045,2001,347
490050,2001,396
500505,2001,730
500020,2001,625
500012,2001,457
500305,2001,707
4320530,2001,171
8150605,2001,625
510025,2001,807
6350005,2001,146
6350025,2001,496
6350035,2001,243
6350305,2001,602
6350505,2001,741
560030,2001,520
560025,2001,491
560505,2001,1680
560305,2001,850
560015,2001,438
570505,2001,1109
570050,2001,746
570030,2001,482
570040,2001,478
570035,2001,525
570003,2001,892
570025,2001,501
6320025,2001,147
610003,2001,402
610010,2001,340
610305,2001,1038
610015,2001,390
610020,2001,441
610510,2001,1250
610505,2001,1061
610090,2001,493
610021,2001,121
610040,2001,316
610022,2001,360
610065,2001,286
610001,2001,225
630010,2001,217
