ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Private School based table with the following filters applied: State(s) (All Years): All 50 + DC

Private School Name,State Name [Private School] Latest available year,ANSI/FIPS State Code [Private School] Latest available year,School ID - NCES Assigned [Private School] Latest available year
1-2-3 EARLY CHILDHOOD CENTER,KENTUCKY,21,A9704079
100 BLK MEN OF GREATER MOBILE',ALABAMA,="01",A0900001
123 YOU N ME PRESCHOOL,ILLINOIS,17,A0103186
1ST BAPT WEEKDAY KINDERGARTEN,GEORGIA,13,A9901459
1ST BAPTIST CHILD DEVELOPMENT,SOUTH CAROLINA,45,K9305783
1ST BAPTIST CHURCH OF BURLESON,TEXAS,48,BB081720
1ST BAPTIST CHURCH PRESCHOOL,ARKANSAS,="05",A0970060
1ST BAPTIST LEARNING CENTER,OKLAHOMA,40,A9704354
1ST CEREBRAL PALSY OF NJ,NEW JERSEY,34,="02043767"
1ST CHURCH OF BRETHREN CDC,PENNSYLVANIA,42,K9304920
1ST CLASS MONTESSORI,TENNESSEE,47,A1102054
1ST CLASS MONTESSORI PRESCHOOL,TENNESSEE,47,K9305911
1ST PRESBYTERIAN CHRISTIAN SCH,FLORIDA,12,K9500177
1ST PRESBYTERIAN KINDERGARTEN/,MISSISSIPPI,28,A9704344
1ST PRESBYTERIAN NURSY - KINDE,CALIFORNIA,="06",BB945494
1ST UNITED METHODIST PRESCHOOL,NORTH CAROLINA,37,A0108235
1ST. AVE. MONTESSORI SCHOOL,FLORIDA,12,A0101927
24 HOUR CARE LLC,TEXAS,48,BB021785
2450 CHILDCARE INC DBA HAPPY D,INDIANA,18,A0700925
2ND PRESBYTERIAN,KENTUCKY,21,A9701580
3 ANGELS CHRISTIAN SCHOOL,VIRGINIA,51,A9106679
3DLEARN INTERACTIVE ACADEMY,FLORIDA,12,A0700418
4 EVER LEARNING ACADEMY,GEORGIA,13,BB080565
40 MILE COLONY,MONTANA,30,A0902047
4TH DIMENSION ACADEMY INC,FLORIDA,12,BB060607
5TH STREET COLLEGE OF BERTHOUD,COLORADO,="08",A9705123
63RD ST MULTICULTURAL ACAD OF ,PENNSYLVANIA,42,A1101911
91ST PSALM CHRISTIAN SCHOOL,ARIZONA,="04",A9700074
92ND STREET YM&YWHA NURSERY SC,NEW YORK,36,K9303952
9TH STREET DAY CARE CENTER,MISSISSIPPI,28,A0105267
A & B CHRISTIAN SCHOOL,TEXAS,48,BB942865
A & B DAYCARE & KINDERGARTEN,ALABAMA,="01",A0100101
A + ADVENTIST CHILDREN'S CENTE,CALIFORNIA,="06",AA000004
A + LEARNING CENTER,NEVADA,32,A9104644
A A MCCARDELL ACADEMY SCHOOL,TEXAS,48,BB981420
A B C LEARNING CENTER,NEW JERSEY,34,A9702226
A B C LITTLE SCHOOL,CALIFORNIA,="06",A9100483
A B Z ACADEMY,NEW JERSEY,34,K9500307
A BETTER CHANCE SCHOOL/CAL AUT,CALIFORNIA,="06",A0500119
