school_id,year,success_raw,success_letter
06980030,2009,7.642,P
06980030,2010,7.921,P
06980030,2011,8.136,A
06980030,2012,8.28,A
06980030,2013,7.895,P
06980030,2014,7.766,P
07300505,2006,8.364,A
07300505,2007,8.698,A
07300505,2008,8.841,A
07300505,2009,8.876,A
07300505,2010,8.899,A
07300505,2011,8.872,A
07300505,2012,9.237,A
07300505,2013,9.389,A
07300505,2014,9.102,A
01860505,2006,7.878,P
01860505,2007,7.162,P
01860505,2008,7.161,P
01860505,2009,7.079,P
01860505,2010,7.2,P
01860505,2011,7.126,P
01860505,2012,7.307,P
01860505,2013,7.486,P
01860505,2014,7.494,P
00200305,2008,7.323,P
00200305,2009,6.919,P
00200305,2007,7.053,P
02170305,2006,7.559,P
02170305,2007,7.563,P
02170305,2008,7.852,P
02170305,2009,7.812,P
02170305,2010,7.202,P
02170305,2011,7.345,P
02170305,2012,7.431,P
02170305,2013,7.761,P
02170305,2014,7.34,P
00610305,2007,5.465,W
00610305,2008,5.534,W
00610305,2009,5.864,W
00610305,2010,5.916,W
00610305,2011,5.911,W
00610305,2012,5.878,W
00610305,2013,6.036,W
00610305,2014,6.163,W
00350405,2008,4.774,W
00350405,2009,5.081,W
00350405,2010,5.237,W
00350405,2011,5.262,W
00350405,2007,4.758,W
01140505,2006,7.17,P
01140505,2007,6.81,P
01140505,2008,7.563,P
01140505,2009,7.274,P
01140505,2010,6.201,W
01140505,2011,6.345,P
01140505,2012,6.489,P
01140505,2013,6.965,P
01140505,2014,6.508,P
02180305,2006,6.42,P
02180305,2007,6.694,P
02180305,2008,6.754,P
02180305,2009,6.736,P
02180305,2010,6.977,P
02180305,2011,7.321,P
02180305,2012,7.119,P
02180305,2013,7.37,P
02180305,2014,7.19,P
07630505,2012,8.322,A
07630505,2013,9.007,A
07630505,2014,8.663,A
06800505,2006,8.118,P
06800505,2007,8.499,A
06800505,2008,8.346,A
06800505,2009,8.488,A
06800505,2010,8.345,A
06800505,2011,8.499,A
06800505,2012,8.717,A
06800505,2013,8.766,A
06800505,2014,8.654,A
00350375,2010,5.443,W
00350375,2011,5.319,W
00350375,2012,5.669,W
00350375,2013,5.667,W
00350375,2014,5.884,W
02070310,2006,7.544,P
02070310,2007,7.684,P
02070310,2008,8.128,A
02070310,2009,8.298,A
02070310,2010,7.99,P
02070310,2011,8.357,A
02070310,2012,8.225,A
02070310,2013,8.352,A
02070310,2014,8.226,A
04910550,2006,6.01,W
04910550,2007,6.543,P
04910550,2008,6.155,W
04910550,2009,7.14,P
04910550,2010,6.828,P
04910550,2011,7.18,P
04910550,2012,7.059,P
04910550,2013,7.025,P
04910550,2014,7.173,P
02190505,2006,8.586,A
02190505,2007,8.602,A
02190505,2008,8.909,A
02190505,2009,9.117,A
02190505,2010,8.793,A
02190505,2011,8.889,A
02190505,2012,9.196,A
02190505,2013,9.23,A
02190505,2014,9.294,A
00360325,2007,6.796,P
00360325,2008,6.601,P
00360325,2009,6.531,P
00360325,2010,7.017,P
00360325,2011,6.822,P
00360325,2012,6.816,P
00360325,2013,6.534,P
00360325,2014,6.582,P
01390305,2007,7.639,P
01390305,2008,7.729,P
01390305,2009,7.628,P
01390305,2010,8.067,P
01390305,2011,8.218,A
01390305,2012,8.254,A
01390305,2013,8.588,A
01390305,2014,8.237,A
02950305,2006,6.571,P
02950305,2007,6.449,P
