year,school,school_id,total_teachers,percent_licensed,total_in_core,percent_highly_qualified,stud_teach_ratio
2004,Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,69,65.2,62,88.7,12.9
2004,Abington - Abington ECC,00010003,33.7,98.5,30,100,18.7
2004,Abington - Abington High,00010505,37.3,94.1,33,94.2,16.4
2004,Abington - Center,00010005,10.8,100,10,100,20.4
2004,Abington - Frolio Jr Hs,00010405,19.5,93.3,17,100,21.2
2004,Abington - North,00010010,11.5,100,11,100,18.3
2004,Abington - Woodsdale,00010015,17,99.5,16,99.5,21.9
2004,Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,29,51.7,28,83.6,11.3
2004,Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,4.6,32.6,3,41.9,9.8
2004,Acton - Douglas,00020020,27.3,96.3,26,96.1,18.1
2004,Acton - Gates,00020025,27.2,98.9,25,100,18.2
2004,Acton - Luther Conant,00020030,28,98.6,26,100,17.6
2004,Acton - McCarthy-Towne,00020015,29.4,93.2,28,92.8,17.2
2004,Acton - Merriam,00020010,34,97.1,30,96.7,15.8
2004,Acton-Boxborough - Acton-Boxborough Reg High,06000505,94.7,100,89,100,17.8
2004,Acton-Boxborough - Raymond J Grey JH,06000405,62.4,93.6,55,92.8,14.9
2004,Acushnet - Acushnet Elementary Sch,00030025,40.5,100,33,100,13.8
2004,Acushnet - Albert F Ford Middle Sch,00030305,30.6,100,26,96.2,18.0
2004,Adams-Cheshire - Adams Middle,06030305,52,96.2,48,100,8.3
2004,Adams-Cheshire - Cheshire Elementary,06030004,21,100,17,100,13.4
2004,Adams-Cheshire - Hoosac Valley High,06030505,34.2,87.7,30,98.7,15.4
2004,Adams-Cheshire - Plunkett Elementary,06030020,42,95.2,36,100,14.5
2004,Agawam - Agawam ECC,00050003,8,100,6,100,15.5
2004,Agawam - Agawam High,00050505,92.6,94.8,72,93.3,12.7
2004,Agawam - Agawam Junior High,00050405,58.2,100,45,100,12.7
2004,Agawam - Agawam Middle School,00050303,49.7,98,44,97.7,13.9
2004,Agawam - Benjamin J Phelps,00050020,28.9,100,27,100,14.3
2004,Agawam - Clifford M Granger,00050010,28.6,100,27,100,14.4
2004,Agawam - James Clark School,00050030,29.6,100,27,100,12.9
2004,Agawam - Robinson Park,00050025,30.2,100,28,100,13.3
2004,Amesbury - Amesbury Elementary,00070005,34.5,100,27,100,14.5
2004,Amesbury - Amesbury High,00070505,60.8,100,50,100,13.3
2004,Amesbury - Amesbury Middle,00070013,58.4,98.3,41,100,14.9
2004,Amesbury - Charles C Cashman El,00070010,41.3,100,33,100,13.3
2004,Amherst - Crocker Farm Elementary,00080009,37.4,95.5,29,96.6,9.6
2004,Amherst - Fort River Elementary,00080020,44.1,88.9,38,92.5,10.9
2004,Amherst - Marks Meadow Laboratory,00080030,22.5,93.3,21,92.8,8.8
2004,Amherst - Wildwood Elementary,00080050,44.8,88.1,41,91.2,9.5
2004,Amherst-Pelham - Amherst Regional High,06050505,102,77.2,85,75.8,13.5
2004,Amherst-Pelham - Amherst Regional MS,06050405,65.3,84.8,57,86.9,10.2
2004,Andover - Andover High,00090505,118.6,100,107,100,14.4
2004,Andover - Andover West Middle,00090310,37.8,100,26,100,13.1
2004,Andover - Bancroft Elementary,00090003,31.8,100,29,100,13.1
2004,Andover - Doherty Middle,00090305,38.2,90.9,36,100,14.5
2004,Andover - Henry C Sanborn Elem,00090010,25.5,100,22,100,14.6
2004,Andover - High Plain Elementary,00090004,41.9,99.1,30,100,13.5
2004,Andover - Shawsheen School,00090005,19,100,16,100,14.0
2004,Andover - South Elementary,00090020,35.8,100,28,100,15.5
2004,Andover - West Elementary,00090025,43.8,100,39,100,13.6
2004,Andover - Wood Hill Middle School,00090350,33.5,94,22,93.2,12.1
2004,Arlington - Arlington High,00100505,78.2,96.2,66,95.4,14.0
2004,Arlington - Brackett,00100010,20.2,100,19,88.8,17.7
2004,Arlington - Cyrus E Dallin,00100025,25.7,100,24,91,14.6
2004,Arlington - Hardy,00100030,19.3,99.5,18,99.5,15.3
2004,Arlington - John A Bishop,00100005,24.3,100,23,95,16.4
2004,Arlington - M Norcross Stratton,00100055,21.1,100,20,90.7,14.1
2004,Arlington - Menotomy Preschool,00100038,3,100,2,100,29.0
2004,Arlington - Ottoson Middle,00100410,72.1,94.3,56,92.7,13.5
2004,Arlington - Peirce,00100045,17.7,91.5,17,87.1,12.9
2004,Arlington - Thompson,00100050,22.7,99.4,20,93.3,13.9
2004,Ashburnham-Westminster - Briggs Elem,06100025,30.5,100,29,100,16.9
2004,Ashburnham-Westminster - Meetinghouse School,06100010,15.7,100,14,100,13.8
2004,Ashburnham-Westminster - Oakmont Regional H S,06100505,45.7,97.8,38,97.4,14.9
2004,Ashburnham-Westminster - Overlook Middle School,06100305,37.8,100,32,97.5,17.0
2004,Ashburnham-Westminster - Westminster Elem,06100005,23.7,100,22,100,16.3
2004,Ashland - Ashland High,00140505,53.2,100,45,91.1,11.8
2004,Ashland - Ashland Middle,00140405,26.5,100,23,100,14.5
2004,Ashland - David Mindess,00140015,39.4,100,33,100,15.3
2004,Ashland - Henry E Warren Elem,00140010,40.3,97.5,35,97.1,15.3
2004,Ashland - William Pittaway Elem,00140005,16.8,91.8,10,100,21.5
2004,Assabet Valley - Assabet Valley Voc H S,08010605,107,91.6,43,90.6,8.4
2004,Athol-Royalston - Athol High,06150505,43.4,100,33,100,14.0
2004,Athol-Royalston - Athol-Royalston Middle School,06150305,37.3,94.6,27,88.9,13.9
2004,Athol-Royalston - Ellen Bigelow,06150005,5.3,100,5,100,13.2
2004,Athol-Royalston - Pleasant St,06150016,16.7,100,16,100,16.9
2004,Athol-Royalston - Riverbend,06150020,20.1,100,19,100,15.0
2004,Athol-Royalston - Royalston Community Sch,06150050,10.9,90.8,10,90.4,10.8
2004,Athol-Royalston - Sanders Street,06150025,11.5,100,11,90.7,15.1
2004,Athol-Royalston - Silver Lake,06150030,8.1,100,7,100,16.3
2004,Atlantis Charter - Atlantis Charter School,04910550,53,62.3,42,88.1,13.1
2004,Attleboro - A. Irvin Studley Elementary School,00160001,34.6,89.9,31,87.1,12.8
2004,Attleboro - Attleboro High,00160505,126.1,94.5,103,94.7,15.4
2004,Attleboro - Cyril K. Brennan Middle School,00160315,49.6,94,44,77.4,14.3
2004,Attleboro - Early Learning Center,00160008,8.8,100,6,100,17.0
2004,Attleboro - Hill-Roberts Elementary School,00160045,31.5,100,29,100,15.2
2004,Attleboro - Hyman Fine Elementary School,00160040,33,100,30,100,14.9
2004,Attleboro - Peter Thacher Elementary School,00160050,36.1,97.2,33,97,15.2
2004,Attleboro - Robert J. Coelho Middle School,00160305,40.3,96.5,30,100,14.6
2004,Attleboro - Thomas E. Willett School,00160035,30.5,100,28,100,14.2
2004,Attleboro - Wamsutta Middle School,00160320,75.2,98.7,69,81.1,9.9
2004,Auburn - Auburn Middle,00170305,41.4,95.2,33,93.9,13.9
2004,Auburn - Auburn Senior High,00170505,47.8,97.9,40,97,13.3
2004,Auburn - Bryn Mawr,00170010,17.1,100,15,100,15.4
2004,Auburn - Julia Bancroft,00170005,18.8,100,17,100,15.5
2004,Auburn - Mary D Stone,00170025,19.9,100,15,100,15.6
2004,Auburn - Pakachoag,00170015,18.6,100,17,91.2,16.1
2004,Avon - Avon Middle High School,00180510,37.4,89.3,31,93.6,12.1
2004,Avon - Ralph D Butler,00180010,20.2,100,18,100,12.4
2004,Ayer - Ayer High,00190510,27.4,92.7,24,91.8,13.6
2004,Ayer - Ayer Middle,00190305,28.2,100,26,100,12.9
2004,Ayer - Page-Hilltop,00190025,51.8,98.1,47,97.9,12.6
2004,Barnstable - Barnstable High,00200505,133.9,94.4,115,93.5,14.9
2004,Barnstable - Centerville Elementary,00200010,36.7,100,27,100,10.3
2004,Barnstable - Cotuit Elem,00200015,12.9,93.8,12,97.4,11.9
2004,Barnstable - Hyannis Elementary,00200020,33.5,100,31,100,11.0
2004,Barnstable - Hyannis West Elementary,00200025,31.1,100,29,100,10.5
2004,Barnstable - Marstons Mills East,00200032,45.5,100,39,100,9.1
2004,Barnstable - Marstons Mills Elem,00200030,11.2,98.7,10,98.5,12.6
2004,Barnstable - Middle School/Hyannis,00200305,83,97.6,75,97.3,12.8
2004,Barnstable - Osterville Bay Elementary,00200040,11.5,100,10,100,16.1
2004,Barnstable - Osterville Elementary,00200035,16.7,100,15,100,16.6
2004,Barnstable - West Barnstable Elem,00200005,21,100,19,100,13.7
2004,Barnstable HMCS - Barnstable HMCS School,04230010,79.1,93.7,68,97.1,12.1
2004,Bedford - Bedford High,00230505,65.3,89.1,56,89,11.0
2004,Bedford - John Glenn Middle,00230305,48.8,81.7,41,92.7,10.4
2004,Bedford - Lt Elezer Davis,00230010,33.4,92.5,30,96.6,15.1
2004,Bedford - Lt Job Lane School,00230012,40.7,93.9,37,97.3,12.7
2004,Belchertown - Belchertown High,00240505,45,100,39,100,15.2
2004,Belchertown - Berkshire Avenue School,00240002,4.5,100,5,100,20.0
2004,Belchertown - Chestnut Hill Community,00240004,40,100,29,100,15.2
2004,Belchertown - Cold Spring,00240005,15,100,14,100,21.1
2004,Belchertown - Swift River Elem,00240018,37.5,100,36,100,17.1
2004,Belchertown - Tadgell Hall,00240020,10,100,9,100,17.6
2004,Bellingham - Bellingham ECC,00250003,4.8,100,4,100,3.8
