school_id,school,year,charter,level,town,lat,long
1700045,1 Lt Charles W. Whitcomb School,2013,No,Middle,Marlborough,42.35735,-71.548591
1700045,1 Lt Charles W. Whitcomb School,2010,No,Middle,Marlborough,42.357383,-71.548459
1700045,1 Lt Charles W. Whitcomb School,2009,No,Middle,Marlborough,42.3574,-71.5485
1630016,A Drewicz Elementary,2014,No,Primary,Lynn,42.4605,-70.9692
1630016,A Drewicz Elementary,2013,No,Primary,Lynn,42.4607,-70.969351
1630016,A Drewicz Elementary,2012,No,Primary,Lynn,42.460509,-70.969159
1630016,A Drewicz Elementary,2011,No,Primary,Lynn,42.461277,-70.969722
1630016,A Drewicz Elementary,2010,No,Primary,Lynn,42.460733,-70.969367
1630016,A Drewicz Elementary,2009,No,Primary,Lynn,42.4607,-70.9694
1630016,A Drewicz Elementary,2008,No,Primary,Lynn,42.46062,-70.96941
1630016,A Drewicz Elementary,2007,No,Primary,Lynn,42.46062,-70.96941
1630016,A Drewicz Elementary,2006,No,Primary,Lynn,42.46131,-70.96985
1630016,A Drewicz Elementary,2005,No,Primary,Lynn,42.46118,-70.9696
1630016,A Drewicz Elementary,2004,No,Primary,Lynn,42.461312,-70.969846
1630016,A Drewicz Elementary,2003,No,Primary,Lynn,42.461312,-70.969846
1630016,A Drewicz Elementary,2002,No,Primary,Lynn,42.461312,-70.969846
2070005,A E Angier,2014,No,Primary,Waban,42.3266,-71.2326
2070005,A E Angier,2013,No,Primary,Waban,42.3265,-71.232611
2070005,A E Angier,2012,No,Primary,Waban,42.326592,-71.232568
2070005,A E Angier,2011,No,Primary,Waban,42.326008,-71.233139
2070005,A E Angier,2010,No,Primary,Waban,42.326527,-71.232401
2070005,A E Angier,2009,No,Primary,Waban,42.3265,-71.2324
2070005,A E Angier,2008,No,Primary,Waban,42.32639,-71.23269
2070005,A E Angier,2007,No,Primary,Waban,42.32639,-71.23269
2070005,A E Angier,2006,No,Primary,Waban,42.32616,-71.23347
2070005,A E Angier,2005,No,Primary,Waban,42.32614,-71.2331
2070005,A E Angier,2004,No,Primary,Waban,42.326156,-71.233474
2070005,A E Angier,2003,No,Primary,Waban,42.326156,-71.233474
2070005,A E Angier,2002,No,Primary,Waban,42.326156,-71.233474
6220015,A F Maloney,2014,No,Middle,Blackstone,42.0196,-71.5354
6220015,A F Maloney,2013,No,Middle,Blackstone,42.02953,-71.544381
6220015,A F Maloney,2012,No,Middle,Blackstone,42.019608,-71.535407
6220015,A F Maloney,2011,No,Middle,Blackstone,42.029114,-71.543703
6220015,A F Maloney,2010,No,Middle,Blackstone,42.029535,-71.544376
6220015,A F Maloney,2009,No,Middle,Blackstone,42.0295,-71.5444
6220015,A F Maloney,2008,No,Middle,Blackstone,42.02871,-71.54532
6220015,A F Maloney,2007,No,Middle,Blackstone,42.02871,-71.54532
6220015,A F Maloney,2006,No,Middle,Blackstone,42.02829,-71.54483
6220015,A F Maloney,2005,No,Middle,Blackstone,42.02858,-71.54459
6220015,A F Maloney,2004,No,Middle,Blackstone,42.028293,-71.544826
6220015,A F Maloney,2003,No,Middle,Blackstone,42.028293,-71.544826
6220015,A F Maloney,2002,No,Primary,Blackstone,42.027629,-71.545636
2480003,A. C. Whelan Elementary School,2014,No,Primary,Revere,42.4193,-71.0199
2480003,A. C. Whelan Elementary School,2013,No,Primary,Revere,42.419321,-71.019945
2480003,A. C. Whelan Elementary School,2012,No,Primary,Revere,42.419321,-71.019945
2480003,A. C. Whelan Elementary School,2011,No,Primary,Revere,42.4198,-71.0205
2480003,A. C. Whelan Elementary School,2010,No,Primary,Revere,42.4198,-71.0205
2480003,A. C. Whelan Elementary School,2009,No,Primary,Revere,42.4198,-71.0205
2480003,A. C. Whelan Elementary School,2008,No,Primary,Revere,42.41979,-71.02049
2480003,A. C. Whelan Elementary School,2007,No,Primary,Revere,42.41979,-71.02049
2480003,A. C. Whelan Elementary School,2006,No,Primary,Revere,42.41898,-71.01873
2480003,A. C. Whelan Elementary School,2005,No,Primary,Revere,42.41956,-71.01856
2480003,A. C. Whelan Elementary School,2004,No,Primary,Revere,42.418981,-71.018728
2480003,A. C. Whelan Elementary School,2003,No,Primary,Revere,42.418981,-71.018728
