school_id,year,success,ela_success,math_success
10405,2002,4.302,,4.302
10405,2003,4.618,,4.618
10405,2005,5.455,,5.455
10405,2006,5.417,6.667,4.167
10405,2007,5.533,6.328,4.738
10405,2008,5.887,6.567,5.207
10405,2009,5.949,6.898,5.0
10405,2010,5.748,6.541,4.955
10405,2011,5.817,6.667,4.967
10405,2012,6.24,6.627,5.853
10405,2013,5.771,6.646,4.896
10405,2014,5.661,6.398,4.923
10405,2004,5.466,,5.466
30305,2002,4.365,,4.365
30305,2003,4.52,,4.52
30305,2005,4.923,,4.923
30305,2007,5.458,6.081,4.835
30305,2008,5.993,6.495,5.49
30305,2009,6.216,7.147,5.285
30305,2010,5.62,6.474,4.766
30305,2011,5.632,6.466,4.799
30305,2012,5.896,6.49,5.303
30305,2013,6.737,6.835,6.639
30305,2014,6.193,6.514,5.872
30305,2004,4.452,,4.452
50405,2002,4.597,,4.597
50405,2003,4.223,,4.223
50405,2005,4.3,,4.3
50405,2007,5.565,6.224,4.906
50405,2008,5.518,6.182,4.855
50405,2009,6.3,6.815,5.785
50405,2010,5.501,6.239,4.763
50405,2011,5.732,6.419,5.045
50405,2012,5.951,6.563,5.339
50405,2013,5.693,6.264,5.123
50405,2014,5.668,6.181,5.155
50405,2004,3.942,,3.942
70013,2002,3.822,,3.822
70013,2003,4.352,,4.352
70013,2005,4.542,,4.542
70013,2007,5.783,6.599,4.966
70013,2008,5.657,6.204,5.111
70013,2009,5.848,6.419,5.276
70013,2010,5.794,6.37,5.218
70013,2011,6.076,6.279,5.872
70013,2012,5.871,6.382,5.36
70013,2013,6.169,6.405,5.934
70013,2014,5.75,5.996,5.503
70013,2004,4.643,,4.643
90305,2002,6.183,,6.183
90305,2003,6.322,,6.322
90305,2005,6.961,,6.961
90305,2007,7.301,7.772,6.83
90305,2008,7.593,7.852,7.333
90305,2009,7.126,7.586,6.667
90305,2010,7.539,8.023,7.054
90305,2011,8.036,8.075,7.996
90305,2012,7.604,7.882,7.326
90305,2013,7.863,8.393,7.333
90305,2014,7.188,7.526,6.849
90305,2004,7.105,,7.105
90310,2002,6.35,,6.35
90310,2003,6.496,,6.496
90310,2005,6.933,,6.933
90310,2007,7.623,8.047,7.199
90310,2008,7.554,8.087,7.022
90310,2009,7.691,8.343,7.039
90310,2010,7.718,8.049,7.386
90310,2011,7.976,8.418,7.533
90310,2012,7.57,8.007,7.132
90310,2013,7.496,7.813,7.178
90310,2014,6.8,7.147,6.453
90310,2004,6.221,,6.221
100410,2002,4.827,,4.827
100410,2003,5.859,,5.859
100410,2005,5.256,,5.256
100410,2007,6.651,7.319,5.984
100410,2008,6.944,7.081,6.808
100410,2009,6.995,7.391,6.599
100410,2010,7.271,7.825,6.717
100410,2011,7.472,7.936,7.008
100410,2012,7.48,7.784,7.176
100410,2013,7.468,7.964,6.973
100410,2014,7.393,7.692,7.094
100410,2004,5.42,,5.42
140405,2002,4.222,,4.222
140405,2003,4.681,,4.681
140405,2005,4.689,,4.689
140405,2007,6.227,7.039,5.415
140405,2008,6.658,7.289,6.026
140405,2009,6.684,7.462,5.905
140405,2010,6.482,7.051,5.913
140405,2011,6.782,7.452,6.111
140405,2012,6.884,7.198,6.57
140405,2013,6.92,7.504,6.335
140405,2014,6.851,7.267,6.434
140405,2004,5.064,,5.064
160305,2002,3.46,,3.46
160305,2003,3.727,,3.727
160305,2005,3.75,,3.75
160305,2007,5.105,5.92,4.291
160305,2008,5.425,6.107,4.743
160305,2009,5.466,5.992,4.94
160305,2010,5.814,5.911,5.717
160305,2011,5.69,6.055,5.325
160305,2012,5.848,6.0,5.695
160305,2013,6.891,6.346,7.436
160305,2014,6.538,6.368,6.709
160305,2004,3.81,,3.81
160315,2002,4.325,,4.325
160315,2003,3.993,,3.993
160315,2005,4.534,,4.534
160315,2007,6.051,6.57,5.531
160315,2008,5.348,5.992,4.705
160315,2009,5.949,6.709,5.19
160315,2010,6.107,6.644,5.571
160315,2011,5.407,6.222,4.593
160315,2012,6.446,6.827,6.064
160315,2013,6.362,6.514,6.209
160315,2014,5.971,6.534,5.408
160315,2004,3.113,,3.113
160320,2002,3.765,,3.765
160320,2003,3.678,,3.678
160320,2005,4.253,,4.253
160320,2007,5.77,6.16,5.38
160320,2008,5.799,6.187,5.411
160320,2009,5.597,6.247,4.948
160320,2010,5.654,5.969,5.338
160320,2011,5.69,6.285,5.096
160320,2012,6.519,6.801,6.237
160320,2013,6.247,6.576,5.918
160320,2014,5.858,6.244,5.473
160320,2004,4.08,,4.08
170305,2002,3.865,,3.865
170305,2003,4.407,,4.407
170305,2005,4.463,,4.463
170305,2007,5.936,6.31,5.561
170305,2008,5.657,6.378,4.936
170305,2009,5.883,6.417,5.35
170305,2010,6.598,6.943,6.252
170305,2011,6.039,6.685,5.394
170305,2012,6.518,6.925,6.111
170305,2013,6.397,6.872,5.922
170305,2014,5.68,6.214,5.146
170305,2004,4.783,,4.783
180510,2002,3.918,,3.918
180510,2003,3.251,,3.251
180510,2005,4.472,,4.472
180510,2007,5.423,6.243,4.603
180510,2008,5.583,5.799,5.366
180510,2009,5.931,6.556,5.306
180510,2010,6.33,6.579,6.082
180510,2011,6.613,7.258,5.968
180510,2012,6.981,7.39,6.572
180510,2013,6.456,7.117,5.796
180510,2014,6.609,7.328,5.891
180510,2006,4.971,5.263,4.678
180510,2004,4.545,,4.545
230305,2002,6.143,,6.143
230305,2003,6.417,,6.417
230305,2005,6.057,,6.057
230305,2007,7.28,7.656,6.903
230305,2008,7.048,7.149,6.948
230305,2009,7.216,7.474,6.959
230305,2010,7.308,7.564,7.051
230305,2011,7.405,7.726,7.083
230305,2012,7.143,7.527,6.758
230305,2013,7.35,7.658,7.043
230305,2014,6.837,7.126,6.548
230305,2004,6.181,,6.181
250505,2002,3.732,,3.732
250505,2003,5.538,,5.538
250505,2005,6.054,,6.054
250505,2006,6.389,6.111,6.667
250505,2007,6.139,5.838,6.441
250505,2008,6.967,6.615,7.32
250505,2009,7.206,7.086,7.325
250505,2010,7.234,7.074,7.394
250505,2011,7.379,7.212,7.547
250505,2012,7.615,7.792,7.437
250505,2013,7.696,7.529,7.863
250505,2014,7.708,7.479,7.937
250505,2004,5.008,,5.008
260305,2002,5.655,,5.655
260305,2003,6.939,,6.939
260305,2005,7.213,,7.213
260305,2007,6.914,7.368,6.46
260305,2008,7.682,8.066,7.299
260305,2009,7.761,8.475,7.048
260305,2010,7.787,8.23,7.345
260305,2011,7.912,8.159,7.665
260305,2012,7.74,8.045,7.435
260305,2013,8.064,8.511,7.617
260305,2014,7.697,7.939,7.455
260305,2004,6.644,,6.644
270305,2002,3.267,,3.267
270305,2003,3.238,,3.238
270305,2005,3.782,,3.782
270305,2007,5.252,5.912,4.591
270305,2008,5.825,6.246,5.405
270305,2009,5.997,6.417,5.576
270305,2010,5.458,6.154,4.762
270305,2011,6.019,6.699,5.34
270305,2012,5.897,6.25,5.545
270305,2013,5.236,5.912,4.56
270305,2014,5.784,6.157,5.412
270305,2004,4.139,,4.139
300305,2002,4.045,,4.045
300305,2003,4.051,,4.051
300305,2005,4.254,,4.254
300305,2007,5.429,6.276,4.582
300305,2008,5.296,6.106,4.485
300305,2009,5.645,6.409,4.882
300305,2010,5.813,6.385,5.24
300305,2011,5.969,6.602,5.335
300305,2012,6.348,6.947,5.75
300305,2013,6.499,6.807,6.192
300305,2014,6.3,6.928,5.673
300305,2004,4.367,,4.367
310305,2002,3.354,,3.354
310305,2003,4.765,,4.765
310305,2005,4.243,,4.243
310305,2007,5.285,6.05,4.52
310305,2008,5.583,5.941,5.226
310305,2009,5.888,6.201,5.576
310305,2010,6.198,6.556,5.84
310305,2011,5.962,6.585,5.34
310305,2012,6.002,6.728,5.277
310305,2013,5.721,6.504,4.937
310305,2014,5.789,6.667,4.912
310305,2004,4.297,,4.297
310310,2002,4.459,,4.459
310310,2003,4.64,,4.64
310310,2005,4.864,,4.864
310310,2007,6.059,6.459,5.659
310310,2008,6.063,6.375,5.75
310310,2009,6.189,6.639,5.738
310310,2010,6.052,6.54,5.565
310310,2011,6.043,6.725,5.36
310310,2012,5.918,6.769,5.066
310310,2013,5.748,6.874,4.622
310310,2014,5.77,6.563,4.978
310310,2004,4.968,,4.968
350004,2002,4.103,,4.103
350004,2003,5.952,,5.952
350004,2005,3.111,,3.111
350004,2007,7.051,6.41,7.692
350004,2008,6.667,6.458,6.875
350004,2009,5.972,6.389,5.556
350004,2011,5.769,5.641,5.897
350004,2012,5.833,7.143,4.524
350004,2013,4.737,5.439,4.035
350004,2014,5.98,6.471,5.49
350004,2004,5.556,,5.556
350074,2002,0.914,,0.914
350074,2003,1.16,,1.16
350074,2005,1.262,,1.262
350074,2007,2.701,3.455,1.946
350074,2008,2.591,3.663,1.518
350074,2009,2.386,3.308,1.465
350074,2010,2.792,3.333,2.251
350074,2011,3.148,3.611,2.685
350074,2012,2.537,3.134,1.94
350074,2013,2.937,3.175,2.698
350074,2014,3.509,4.035,2.982
350074,2004,1.628,,1.628
350080,2002,2.286,,2.286
350080,2003,3.733,,3.733
350080,2005,5.315,,5.315
350080,2007,5.09,5.766,4.414
350080,2008,5.379,6.212,4.545
350080,2009,4.679,6.09,3.269
350080,2010,4.605,5.028,4.181
350080,2011,5.145,5.797,4.493
350080,2012,3.735,4.383,3.086
350080,2013,3.553,4.561,2.544
350080,2014,4.583,5.573,3.594
350080,2004,4.0,,4.0
350229,2002,1.975,,1.975
350229,2003,1.795,,1.795
350229,2005,1.867,,1.867
350229,2007,4.198,5.062,3.333
350229,2008,4.198,5.185,3.21
350229,2009,4.885,5.747,4.023
350229,2010,4.702,5.476,3.929
350229,2011,3.864,5.152,2.576
350229,2012,4.464,5.714,3.214
350229,2013,4.167,5.37,2.963
350229,2014,4.238,4.762,3.714
350229,2004,2.698,,2.698
350262,2002,4.314,,4.314
350262,2003,4.615,,4.615
350262,2005,4.274,,4.274
350262,2007,4.833,5.583,4.083
350262,2008,3.625,4.583,2.667
350262,2009,4.531,5.625,3.437
350262,2010,5.115,5.632,4.598
350262,2011,4.531,5.625,3.437
350262,2012,4.363,5.686,3.039
350262,2013,5.167,5.778,4.556
350262,2014,5.0,5.303,4.697
350262,2004,4.222,,4.222
350308,2002,1.481,,1.481
350308,2003,1.212,,1.212
350308,2005,4.386,,4.386
350308,2007,5.175,6.491,3.86
350308,2008,4.815,5.556,4.074
350308,2009,4.487,5.641,3.333
350308,2010,4.583,5.625,3.542
350308,2011,3.81,5.397,2.222
350308,2012,5.083,6.667,3.5
350308,2013,4.621,5.303,3.939
350308,2014,5.076,5.758,4.394
350308,2004,4.203,,4.203
350380,2002,3.158,,3.158
350380,2003,0.877,,0.877
350380,2005,3.958,,3.958
350380,2007,5.333,6.167,4.5
350380,2008,5.0,5.556,4.444
350380,2009,6.042,6.354,5.729
350380,2010,3.814,4.84,2.788
350380,2011,4.026,5.128,2.923
350380,2012,3.974,5.385,2.564
350380,2013,3.276,4.31,2.241
350380,2014,3.37,4.13,2.609
350380,2004,3.725,,3.725
350430,2002,0.741,,0.741
350430,2003,1.506,,1.506
350430,2005,2.609,,2.609
350430,2007,3.641,4.444,2.837
350430,2008,4.346,4.804,3.889
350430,2009,5.367,5.733,5.0
350430,2010,5.43,5.627,5.233
350430,2011,5.297,5.881,4.713
350430,2012,4.532,5.337,3.727
350430,2013,3.807,4.477,3.136
350430,2014,4.038,4.781,3.295
350430,2004,2.697,,2.697
350445,2002,1.506,,1.506
350445,2003,1.557,,1.557
350445,2005,1.92,,1.92
350445,2007,3.434,4.69,2.179
350445,2008,3.791,4.566,3.017
350445,2009,3.406,4.928,1.884
